          (   1,    1) (   1,    1) (   1,    2) (   1,    3) (   1,    0) (   1,    0) (   1,    0) (   1,    1) (   1,    2) (   1,    0)
          (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    2) (   1,    1) (   1,    3) (   1,    0) (   1,    1) (   1,    2)
          (   1,    0) (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   1,    1) (   1,    2) (   1,    1) (   1,    1) (   1,    2)
          (   1,    1) (   1,    1) (   1,    2) (   1,    1) (   1,    0) (   1,    3) (   1,    1) (   1,    1) (   1,    2) (   1,    1)
          (   1,    1) (   1,    1) (   1,    3) (   1,    2) (   1,    2) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    1)
          (   1,    3) (   1,    1) (   1,    0) (   1,    1) (   1,    2) (   1,    2) (   1,    0) (   1,    1) (   1,    1) (   1,    2)
          (   1,    2) (   1,    1) (   1,    2) (   1,    0) (   1,    2) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    1)
          (   1,    1) (   1,    2) (   1,    1) (   1,    2) (   1,    0) (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    0)
          (   1,    1) (   1,    1) (   1,    0) (   1,    1) (   1,    0) (   1,    0) (   1,    2) (   1,    1) (   1,    1) (   1,    1)
          (   1,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   1,    3) (   1,    2) (   1,    0) (   1,    2) (   1,    1)
          (   1,    1) (   1,    1) (   1,    2) (   1,    1) (   1,    1) (   1,    3) (   1,    0) (   1,    0) (   1,    1) (   1,    2)
          (   1,    1) (   1,    0) (   1,    1) (   1,    3) (   1,    0) (   1,    3) (   1,    1) (   1,    0) (   1,    1) (   1,    1)
          (   1,    0) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   1,    3) (   1,    0) (   1,    2) (   1,    2) (   1,    2)
          (   1,    1) (   1,    2) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    3) (   1,    2)
         
node   8 sent_total    467  recv_total    476

node   9  (   0,    0) (   0,    0) (   1,    0) (   0,    0) (   1,    1) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    0)
          (   1,    0) (   1,    1) (   1,    0) (   1,    1) (   1,    2) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    2)
          (   1,    1) (   1,    2) (   1,    1) (   1,    2) (   1,    3) (   1,    1) (   1,    1) (   1,    2) (   1,    1) (   1,    1)
          (   1,    2) (   1,    1) (   1,    2) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   1,    2) (   1,    0)
          (   1,    0) (   1,    0) (   1,    2) (   1,    2) (   1,    1) (   1,    1) (   1,    0) (   1,    2) (   1,    2) (   1,    0)
          (   1,    2) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   0,    1) (   1,    2) (   1,    1) (   0,    3) (   1,    1)
          (   1,    1) (   1,    1) (   1,    0) (   1,    2) (   1,    2) (   1,    0) (   1,    1) (   1,    0) (   1,    3) (   1,    1)
          (   1,    2) (   1,    0) (   1,    1) (   1,    3) (   1,    0) (   1,    0) (   1,    1) (   1,    2) (   1,    1) (   1,    1)
          (   1,    3) (   1,    0) (   0,    2) (   1,    1) (   1,    1) (   1,    2) (   1,    0) (   1,    1) (   1,    0) (   1,    2)
          (   1,    1) (   0,    0) (   1,    1) (   1,    2) (   1,    3) (   1,    0) (   1,    0) (   0,    1) (   1,    1) (   0,    1)
          (   1,    1) (   1,    0) (   1,    2) (   0,    1) (   1,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    0) (   1,    0)
          (   1,    1) (   1,    1) (   1,    1) (   0,    0) (   1,    2) (   1,    0) (   1,    1) (   1,    1) (   1,    3) (   1,    0)
          (   1,    1) (   1,    1) (   1,    0) (   1,    2) (   1,    1) (   1,    0) (   1,    2) (   1,    3) (   0,    1) (   1,    0)
          (   1,    2) (   1,    1) (   1,    0) (   0,    1) (   1,    0) (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    2)
          (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   1,    3) (   1,    0) (   1,    1) (   1,    0) (   1,    0)
          (   1,    0) (   1,    0) (   1,    3) (   1,    0) (   1,    1) (   1,    1) (   1,    2) (   1,    0) (   1,    0) (   1,    3)
          (   0,    2) (   1,    0) (   1,    0) (   1,    2) (   1,    2) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    0)
          (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   1,    1) (   1,    1) (   1,    2) (   1,    1) (   1,    0) (   1,    1)
          (   1,    1) (   0,    0) (   1,    3) (   1,    0) (   1,    1) (   1,    0) (   1,    2) (   1,    0) (   1,    1) (   1,    0)
          (   1,    0) (   1,    3) (   1,    0) (   1,    1) (   1,    0) (   1,    2) (   1,    2) (   1,    2) (   1,    0) (   1,    0)
          (   0,    1) (   1,    0) (   1,    2) (   1,    0) (   1,    1) (   1,    1) (   0,    1) (   1,    0) (   1,    1) (   1,    0)
          (   1,    1) (   1,    1) (   1,    0) (   1,    1) (   1,    2) (   1,    2) (   1,    1) (   1,    2) (   1,    4) (   1,    1)
          (   1,    1) (   1,    2) (   1,    1) (   0,    0) (   1,    1) (   0,    1) (   1,    0) (   1,    0) (   0,    1) (   1,    1)
          (   1,    1) (   1,    1) (   0,    0) (   1,    1) (   1,    2) (   1,    1) (   1,    2) (   1,    0) (   1,    0) (   1,    2)
          (   1,    1) (   1,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    2) (   1,    0) (   1,    3) (   0,    2) (   1,    1)
          (   1,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    0) (   1,    1) (   0,    0) (   1,    0) (   1,    0) (   0,    1)
          (   1,    0) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    0) (   1,    1) (   1,    3) (   1,    1) (   1,    1)
          (   1,    0) (   0,    1) (   1,    1) (   1,    3) (   1,    1) (   1,    1) (   1,    0) (   1,    1) (   1,    0) (   1,    0)
          (   1,    2) (   1,    2) (   0,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    0) (   1,    1) (   1,    0) (   1,    0)
          (   1,    1) (   1,    1) (   1,    0) (   0,    1) (   0,    1) (   1,    0) (   0,    1) (   1,    0) (   1,    1) (   1,    1)
          (   1,    3) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    2) (   1,    2) (   1,    0) (   1,    1) (   1,    1)
          (   1,    0) (   1,    2) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    2) (   1,    1) (   1,    0) (   1,    0)
          (   1,    2) (   1,    1) (   1,    3) (   1,    0) (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    2) (   1,    2)
          (   1,    1) (   1,    0) (   1,    2) (   1,    1) (   1,    0) (   1,    1) (   1,    3) (   1,    0) (   1,    2) (   1,    0)
          (   1,    0) (   1,    2) (   1,    0) (   1,    1) (   1,    0) (   1,    1) (   1,    2) (   1,    2) (   1,    1) (   1,    1)
          (   1,    2) (   1,    0) (   1,    1) (   1,    2) (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    1) (   1,    2)
          (   1,    1) (   1,    0) (   1,    0) (   1,    2) (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    3)
          (   1,    3) (   1,    1) (   1,    0) (   1,    0) (   1,    3) (   1,    0) (   1,    0) (   1,    0) (   1,    1) (   1,    1)
          (   1,    2) (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    0)
          (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    1) (   1,    2) (   1,    1) (   1,    0)
          (   1,    2) (   1,    1) (   1,    0) (   1,    1) (   1,    0) (   1,    1) (   1,    3) (   1,    1) (   1,    1) (   1,    2)
          (   1,    0) (   1,    1) (   1,    1) (   1,    2) (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   1,    1) (   1,    1)
          (   1,    0) (   1,    0) (   1,    1) (   1,    1) (   1,    2) (   1,    1) (   1,    0) (   1,    1) (   1,    1) (   1,    1)
          (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    1) (   1,    0) (   1,    0) (   1,    2) (   1,    0) (   1,    2)
          (   1,    2) (   1,    1) (   1,    1) (   1,    0) (   1,    4) (   1,    0) (   1,    1) (   1,    0) (   1,    0) (   1,    0)
          (   1,    0) (   1,    2) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    1) (   1,    0) (   1,    1) (   1,    2)
          (   1,    2) (   1,    0) (   1,    2) (   1,    3) (   1,    0) (   1,    1) (   1,    3) (   1,    1) (   1,    0) (   1,    2)
          (   1,    0) (   1,    1) (   1,    2) (   1,    1) (   1,    0) (   1,    0) (   1,    1) (   1,    1) (   1,    1) (   1,    1)
          (   1,    1) (   1,    1) (   1,    1) (   1,    2) (   1,    0) (   1,    0) (   1,    2) (   1,    0) (   1,    1) (   1,    0)
          (   1,    2) (   1,    1) (   1,    4) (   1,    1) (   1,    0) (   1,    2) (   1,    1) (   1,    2) (   1,    1) (   1,    0)
         
node   9 sent_total    471  recv_total    454

node  10  (   0,    0) (   0,    0) (   1,    0) (   0,    0) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   1,    1)
          (   1,    1) (   1,    2) (   1,    1) (   1,    0) (   1,    0) (   1,    1) (   1,    1) (   1,    2) (   1,    0) (   1,    1)
          (   1,    0) (   1,    1) (   1,    0) (   1,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    2) (   1,    1) (   1,    1)
          (   1,    0) (   1,    2) (   1,    0) (   1,    0) (   1,    2) (   1,    2) (   1,    0) (   1,    1) (   1,    0) (   1,    1)
          (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   1,    2) (   1,    0) (   1,    1) (   1,    0) (   1,    1)
          (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   1,    1) (   0,    2) (   1,    0) (   1,    1) (   1,    2) (   1,    2)
          (   0,    0) (   1,    1) (   1,    2) (   1,    0) (   1,    1) (   1,    0) (   1,    3) (   1,    2) (   1,    1) (   1,    0)
          (   1,    0) (   0,    0) (   0,    0) (   0,    0) (   1,    1) (   1,    0) (   1,    2) (   1,    0) (   1,    0) (   1,    1)
          (   1,    2) (   1,    0) (   1,    2) (   1,    3) (   0,    0) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   0,    1)
          (   1,    2) (   1,    1) (   1,    0) (   1,    0) (   1,    3) (   1,    1) (   1,    2) (   1,    1) (   0,    2) (   1,    1)
          (   1,    0) (   1,    2) (   0,    1) (   1,    1) (   1,    1) (   1,    1) (   0,    0) (   1,    0) (   1,    0) (   1,    0)
          (   0,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   0,    0) (   1,    1) (   1,    3)
          (   1,    0) (   0,    2) (   1,    1) (   1,    0) (   1,    1) (   1,    2) (   1,    0) (   1,    1) (   1,    2) (   1,    0)
          (   1,    2) (   1,    2) (   1,    0) (   1,    0) (   1,    3) (   1,    1) (   1,    1) (   1,    0) (   0,    3) (   1,    1)
          (   1,    0) (   1,    2) (   1,    1) (   1,    0) (   0,    0) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    1)
          (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   1,    3) (   1,    1) (   1,    1) (   1,    2) (   0,    1) (   1,    0)
          (   1,    0) (   1,    3) (   1,    0) (   1,    3) (   0,    2) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    1)
          (   1,    0) (   1,    2) (   1,    0) (   1,    2) (   1,    1) (   1,    0) (   1,    2) (   0,    1) (   1,    3) (   0,    1)
          (   0,    3) (   1,    3) (   1,    1) (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    1) (   1,    1) (   1,    0)
          (   0,    2) (   0,    1) (   1,    1) (   1,    0) (   1,    3) (   0,    1) (   1,    3) (   1,    1) (   1,    1) (   1,    0)
          (   1,    4) (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    2) (   1,    1) (   1,    1) (   1,    0)
          (   1,    1) (   1,    0) (   1,    0) (   0,    3) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   1,    0)
          (   1,    2) (   1,    0) (   1,    3) (   1,    1) (   1,    2) (   0,    1) (   0,    0) (   1,    0) (   1,    2) (   1,    1)
          (   1,    0) (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    1) (   1,    0) (   1,    2) (   1,    1) (   1,    2)
          (   1,    1) (   1,    0) (   1,    2) (   1,    1) (   1,    0) (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    1)
          (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    1) (   1,    3) (   1,    0) (   1,    0) (   0,    1)
          (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    2) (   1,    1) (   1,    3) (   1,    1) (   1,    3) (   1,    0)
          (   1,    1) (   1,    1) (   1,    2) (   0,    1) (   1,    0) (   1,    0) (   1,    2) (   1,    0) (   1,    0) (   1,    1)
          (   0,    0) (   1,    1) (   1,    0) (   1,    0) (   1,    1) (   1,    1) (   1,    1) (   0,    1) (   1,    0) (   1,    0)
          (   1,    0) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   1,    0) (   1,    2) (   1,    2) (   1,    0) (   1,    1)
          (   1,    0) (   1,    0) (   1,    3) (   1,    2) (   1,    1) (   1,    2) (   1,    0) (   1,    2) (   1,    0) (   1,    1)
          (   1,    0) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   1,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    3)
          (   1,    1) (   1,    2) (   1,    1) (   1,    1) (   1,    0) (   1,    1) (   1,    2) (   1,    3) (   1,    0) (   1,    0)
          (   1,    1) (   1,    1) (   1,    2) (   1,    2) (   1,    0) (   1,    1) (   1,    2) (   1,    1) (   1,    1) (   1,    0)
          (   1,    0) (   1,    0) (   1,    3) (   1,    1) (   1,    1) (   1,    1) (   1,    0) (   1,    3) (   1,    0) (   1,    1)
          (   1,    1) (   1,    1) (   1,    2) (   1,    0) (   1,    2) (   1,    1) (   1,    0) (   1,    0) (   1,    2) (   1,    0)
          (   1,    0) (   1,    1) (   1,    2) (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    3) (   1,    0)
          (   1,    2) (   1,    0) (   1,    2) (   1,    0) (   1,    0) (   1,    2) (   1,    1) (   1,    2) (   1,    1) (   1,    0)
          (   1,    0) (   1,    1) (   1,    1) (   1,    1) (   1,    3) (   1,    2) (   1,    2) (   1,    1) (   1,    0) (   1,    1)
          (   1,    0) (   1,    0) (   1,    2) (   1,    4) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   1,    0) (   1,    1)
          (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    0)
          (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    1) (   1,    0)
          (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    2) (   1,    1)
          (   1,    1) (   1,    0) (   1,    2) (   1,    0) (   1,    2) (   1,    2) (   1,    0) (   1,    1) (   1,    2) (   1,    2)
          (   1,    0) (   1,    1) (   1,    0) (   1,    2) (   1,    0) (   1,    2) (   1,    2) (   1,    1) (   1,    3) (   1,    1)
          (   1,    4) (   1,    1) (   1,    2) (   1,    1) (   1,    1) (   1,    2) (   1,    0) (   1,    0) (   1,    2) (   1,    0)
          (   1,    2) (   1,    1) (   1,    2) (   1,    0) (   1,    0) (   1,    1) (   1,    2) (   1,    4) (   1,    2) (   1,    1)
          (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    1) (   1,    2) (   1,    0) (   1,    0) (   1,    0) (   1,    2)
          (   1,    3) (   1,    1) (   1,    4) (   1,    2) (   1,    2) (   1,    0) (   1,    0) (   1,    1) (   1,    1) (   1,    1)
          (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   1,    3) (   1,    2) (   1,    0) (   1,    2) (   1,    3) (   1,    1)
         
node  10 sent_total    467  recv_total    475

